loan_amnt,term,int_rate,grade,emp_title,home_ownership,annual_inc,verification_status,dti,open_acc,revol_util,fico_range_high,loan_status,text
9875.0, 36 months,12.74,C,Teacher,MORTGAGE,65000.0,Source Verified,34.6,10.0,37.1,724.0,0,home_improvement - Home improvement
24000.0, 60 months,18.25,D,Supervisor/SPD,MORTGAGE,70000.0,Not Verified,33.14,18.0,32.1,729.0,0,debt_consolidation - Debt consolidation
14075.0, 36 months,16.99,D,ramp agent ,RENT,32000.0,Not Verified,21.79,8.0,29.2,709.0,0,debt_consolidation - Debt consolidation
4800.0, 36 months,13.99,C,Technician,RENT,40000.0,Source Verified,18.54,5.0,90.0,669.0,0,debt_consolidation - Debt consolidation
12000.0, 36 months,9.17,B,Partner,MORTGAGE,300000.0,Source Verified,7.03,13.0,40.6,664.0,0,debt_consolidation - Debt consolidation
5000.0, 36 months,15.31,C,Comm. Driver,OWN,40000.0,Verified,26.46,8.0,100.3,669.0,0,debt_consolidation - Debt consolidation
13625.0, 60 months,16.49,D,Firefighter,RENT,73000.0,Verified,34.08,24.0,73.3,679.0,0,debt_consolidation - Debt consolidation
25000.0, 36 months,16.99,D,Registered Nurse,MORTGAGE,65000.0,Verified,13.22,16.0,63.7,679.0,0,debt_consolidation - Debt consolidation
13275.0, 60 months,17.57,D,HVAC Technician,RENT,64000.0,Not Verified,26.87,21.0,62.2,674.0,0,other - Other
14400.0, 36 months,11.53,B,Teacher,RENT,57000.0,Source Verified,20.05,16.0,43.3,679.0,0,credit_card - Credit card refinancing
9600.0, 36 months,18.99,D,Driver,MORTGAGE,85000.0,Source Verified,34.09,17.0,29.7,684.0,0,debt_consolidation - Debt consolidation
6000.0, 36 months,12.88,C,Fellow,RENT,48000.0,Not Verified,10.47,13.0,12.4,734.0,0,small_business - Business
35000.0, 60 months,18.55,E,DRIVER,MORTGAGE,93721.0,Verified,24.78,17.0,79.4,694.0,0,debt_consolidation - Debt consolidation
29425.0, 36 months,12.74,C,,MORTGAGE,68892.0,Verified,5.37,4.0,31.3,704.0,0,debt_consolidation - Debt consolidation
35000.0, 36 months,12.69,C,Mech 2,MORTGAGE,75000.0,Verified,13.33,15.0,21.6,709.0,0,debt_consolidation - Debt consolidation
7100.0, 36 months,12.69,C,technician,MORTGAGE,62000.0,Not Verified,13.78,13.0,39.0,684.0,0,debt_consolidation - Debt consolidation
28000.0, 60 months,10.99,B,Director of Quality/Risk Management,MORTGAGE,100000.0,Not Verified,16.54,10.0,28.8,709.0,0,debt_consolidation - Debt consolidation
30000.0, 36 months,9.16,B,Executive VP of Operation,MORTGAGE,204000.0,Source Verified,16.4,18.0,56.4,694.0,0,debt_consolidation - Debt consolidation
10000.0, 36 months,7.89,A,Lead Youth Development Counselor,RENT,54000.0,Not Verified,12.98,10.0,35.7,709.0,0,debt_consolidation - Debt consolidation
17000.0, 36 months,12.29,C,Loan Officer,RENT,44000.0,Not Verified,26.32,20.0,61.8,669.0,0,debt_consolidation - Debt consolidation
10000.0, 36 months,14.65,C,machinist,MORTGAGE,38000.0,Source Verified,27.73,13.0,41.7,684.0,0,debt_consolidation - Debt consolidation
12500.0, 60 months,22.99,F,Shift Foreman,MORTGAGE,70000.0,Source Verified,19.46,9.0,78.4,669.0,0,debt_consolidation - Debt consolidation
3000.0, 36 months,12.59,C,machine operator,MORTGAGE,55000.0,Verified,4.93,8.0,50.0,664.0,0,vacation - Vacation
18000.0, 60 months,19.99,D,HR Coordinator ,OWN,60000.0,Source Verified,16.0,22.0,52.8,674.0,0,credit_card - Credit card refinancing
